Tick: 16716000, Cache Block Addr: 107776, Byte Offset: 43, FaultType: bit_flip, Mask: 10000000
Tick: 17570000, Cache Block Addr: 107776, Byte Offset: 15, FaultType: bit_flip, Mask: 01000000
Tick: 23119000, Cache Block Addr: 107968, Byte Offset: 35, FaultType: bit_flip, Mask: 00000001
Tick: 24836000, Cache Block Addr: 114368, Byte Offset: 51, FaultType: bit_flip, Mask: 10000000
Tick: 58240000, Cache Block Addr: 114368, Byte Offset: 29, FaultType: bit_flip, Mask: 00000010
Tick: 70254000, Cache Block Addr: 114432, Byte Offset: 3, FaultType: bit_flip, Mask: 10000000
Tick: 79305000, Cache Block Addr: 104384, Byte Offset: 10, FaultType: bit_flip, Mask: 01000000
Tick: 89294000, Cache Block Addr: 108160, Byte Offset: 3, FaultType: bit_flip, Mask: 00000100
Tick: 103839000, Cache Block Addr: 114432, Byte Offset: 48, FaultType: bit_flip, Mask: 00000001
Tick: 106674000, Cache Block Addr: 108096, Byte Offset: 11, FaultType: bit_flip, Mask: 00010000
Tick: 108083000, Cache Block Addr: 108544, Byte Offset: 49, FaultType: bit_flip, Mask: 00000100
Tick: 111232000, Cache Block Addr: 107904, Byte Offset: 60, FaultType: bit_flip, Mask: 00000010
Tick: 112493000, Cache Block Addr: 114560, Byte Offset: 48, FaultType: bit_flip, Mask: 00010000
Tick: 130261000, Cache Block Addr: 107712, Byte Offset: 59, FaultType: bit_flip, Mask: 00000100
Tick: 143346000, Cache Block Addr: 108032, Byte Offset: 10, FaultType: bit_flip, Mask: 01000000
Tick: 149018000, Cache Block Addr: 104384, Byte Offset: 58, FaultType: bit_flip, Mask: 00010000
Tick: 156256000, Cache Block Addr: 114496, Byte Offset: 12, FaultType: bit_flip, Mask: 10000000
Tick: 166385000, Cache Block Addr: 114496, Byte Offset: 51, FaultType: bit_flip, Mask: 00010000
Tick: 168536000, Cache Block Addr: 114432, Byte Offset: 42, FaultType: bit_flip, Mask: 00100000
Tick: 169666000, Cache Block Addr: 108672, Byte Offset: 36, FaultType: bit_flip, Mask: 10000000
Tick: 171170000, Cache Block Addr: 114368, Byte Offset: 42, FaultType: bit_flip, Mask: 00100000
Tick: 194930000, Cache Block Addr: 114496, Byte Offset: 27, FaultType: bit_flip, Mask: 00000100
Tick: 202325000, Cache Block Addr: 104384, Byte Offset: 52, FaultType: bit_flip, Mask: 00010000
Tick: 205014000, Cache Block Addr: 114496, Byte Offset: 52, FaultType: bit_flip, Mask: 00100000
Tick: 207930000, Cache Block Addr: 108032, Byte Offset: 24, FaultType: bit_flip, Mask: 00100000
Tick: 214619000, Cache Block Addr: 108096, Byte Offset: 58, FaultType: bit_flip, Mask: 01000000
Tick: 219950000, Cache Block Addr: 114560, Byte Offset: 52, FaultType: bit_flip, Mask: 10000000
Tick: 224638000, Cache Block Addr: 107904, Byte Offset: 55, FaultType: bit_flip, Mask: 00001000
Tick: 226364000, Cache Block Addr: 114432, Byte Offset: 13, FaultType: bit_flip, Mask: 00001000
Tick: 231868000, Cache Block Addr: 114368, Byte Offset: 3, FaultType: bit_flip, Mask: 00000001
Tick: 236007000, Cache Block Addr: 108608, Byte Offset: 29, FaultType: bit_flip, Mask: 00001000
Tick: 236732000, Cache Block Addr: 108032, Byte Offset: 23, FaultType: bit_flip, Mask: 00010000
Tick: 239998000, Cache Block Addr: 108672, Byte Offset: 47, FaultType: bit_flip, Mask: 00000100
Tick: 241891000, Cache Block Addr: 114368, Byte Offset: 8, FaultType: bit_flip, Mask: 00000010
Tick: 255554000, Cache Block Addr: 107904, Byte Offset: 16, FaultType: bit_flip, Mask: 00000010
