Tick: 26535000, Cache Block Addr: 122112, Byte Offset: 28, FaultType: bit_flip, Mask: 00100000
Tick: 43992000, Cache Block Addr: 170112, Byte Offset: 55, FaultType: bit_flip, Mask: 00100000
Tick: 56501000, Cache Block Addr: 203840, Byte Offset: 8, FaultType: bit_flip, Mask: 00000010
Tick: 65201000, Cache Block Addr: 229248, Byte Offset: 22, FaultType: bit_flip, Mask: 00001000
Tick: 65701000, Cache Block Addr: 228672, Byte Offset: 44, FaultType: bit_flip, Mask: 00010000
Tick: 65727000, Cache Block Addr: 230144, Byte Offset: 51, FaultType: bit_flip, Mask: 00000001
Tick: 77308000, Cache Block Addr: 61056, Byte Offset: 37, FaultType: bit_flip, Mask: 00000001
Tick: 86962000, Cache Block Addr: 290048, Byte Offset: 25, FaultType: bit_flip, Mask: 00100000
Tick: 89080000, Cache Block Addr: 296256, Byte Offset: 14, FaultType: bit_flip, Mask: 00000100
Tick: 97317000, Cache Block Addr: 46528, Byte Offset: 39, FaultType: bit_flip, Mask: 10000000
Tick: 123991000, Cache Block Addr: 395328, Byte Offset: 49, FaultType: bit_flip, Mask: 00100000
Tick: 125667000, Cache Block Addr: 397248, Byte Offset: 5, FaultType: bit_flip, Mask: 00000100
Tick: 129776000, Cache Block Addr: 409920, Byte Offset: 6, FaultType: bit_flip, Mask: 00010000
Tick: 178722000, Cache Block Addr: 551040, Byte Offset: 61, FaultType: bit_flip, Mask: 00000001
Tick: 205587000, Cache Block Addr: 626432, Byte Offset: 6, FaultType: bit_flip, Mask: 00000010
Tick: 226035000, Cache Block Addr: 685248, Byte Offset: 16, FaultType: bit_flip, Mask: 10000000
Tick: 234356000, Cache Block Addr: 60992, Byte Offset: 0, FaultType: bit_flip, Mask: 00001000
Tick: 238044000, Cache Block Addr: 719168, Byte Offset: 44, FaultType: bit_flip, Mask: 01000000
Tick: 242223000, Cache Block Addr: 728256, Byte Offset: 1, FaultType: bit_flip, Mask: 00100000
Tick: 250957000, Cache Block Addr: 755456, Byte Offset: 14, FaultType: bit_flip, Mask: 00000001
Tick: 251958000, Cache Block Addr: 757056, Byte Offset: 37, FaultType: bit_flip, Mask: 00100000
Tick: 255193000, Cache Block Addr: 768320, Byte Offset: 59, FaultType: bit_flip, Mask: 01000000
Tick: 260644000, Cache Block Addr: 784128, Byte Offset: 58, FaultType: bit_flip, Mask: 00000001
Tick: 262288000, Cache Block Addr: 60992, Byte Offset: 33, FaultType: bit_flip, Mask: 10000000
Tick: 280005000, Cache Block Addr: 838848, Byte Offset: 45, FaultType: bit_flip, Mask: 00001000
Tick: 294719000, Cache Block Addr: 879552, Byte Offset: 21, FaultType: bit_flip, Mask: 00000010
Tick: 320905000, Cache Block Addr: 61056, Byte Offset: 62, FaultType: bit_flip, Mask: 00000100
Tick: 343110000, Cache Block Addr: 1017600, Byte Offset: 50, FaultType: bit_flip, Mask: 10000000
Tick: 352068000, Cache Block Addr: 46528, Byte Offset: 51, FaultType: bit_flip, Mask: 01000000
Tick: 358156000, Cache Block Addr: 1062912, Byte Offset: 49, FaultType: bit_flip, Mask: 00100000
Tick: 370758000, Cache Block Addr: 46528, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 371465000, Cache Block Addr: 1099968, Byte Offset: 51, FaultType: bit_flip, Mask: 00000100
Tick: 379321000, Cache Block Addr: 1120640, Byte Offset: 49, FaultType: bit_flip, Mask: 00010000
Tick: 387749000, Cache Block Addr: 1144512, Byte Offset: 1, FaultType: bit_flip, Mask: 00010000
Tick: 401003000, Cache Block Addr: 43904, Byte Offset: 46, FaultType: bit_flip, Mask: 00010000
Tick: 405585000, Cache Block Addr: 1195712, Byte Offset: 47, FaultType: bit_flip, Mask: 01000000
Tick: 412732000, Cache Block Addr: 61056, Byte Offset: 47, FaultType: bit_flip, Mask: 00000010
Tick: 418119000, Cache Block Addr: 1230144, Byte Offset: 46, FaultType: bit_flip, Mask: 00000010
Tick: 422267000, Cache Block Addr: 1241792, Byte Offset: 40, FaultType: bit_flip, Mask: 00000100
Tick: 442040000, Cache Block Addr: 1297536, Byte Offset: 49, FaultType: bit_flip, Mask: 00000100
Tick: 461081000, Cache Block Addr: 1352832, Byte Offset: 3, FaultType: bit_flip, Mask: 10000000
Tick: 473233000, Cache Block Addr: 1386816, Byte Offset: 29, FaultType: bit_flip, Mask: 00000100
Tick: 477577000, Cache Block Addr: 1399488, Byte Offset: 20, FaultType: bit_flip, Mask: 00010000
Tick: 478673000, Cache Block Addr: 1402176, Byte Offset: 53, FaultType: bit_flip, Mask: 01000000
Tick: 500365000, Cache Block Addr: 1465472, Byte Offset: 47, FaultType: bit_flip, Mask: 00000100
Tick: 510372000, Cache Block Addr: 43904, Byte Offset: 36, FaultType: bit_flip, Mask: 00001000
Tick: 533482000, Cache Block Addr: 1559808, Byte Offset: 34, FaultType: bit_flip, Mask: 00000010
Tick: 545735000, Cache Block Addr: 1594752, Byte Offset: 27, FaultType: bit_flip, Mask: 10000000
Tick: 546381000, Cache Block Addr: 1596672, Byte Offset: 10, FaultType: bit_flip, Mask: 00100000
Tick: 560559000, Cache Block Addr: 43520, Byte Offset: 21, FaultType: bit_flip, Mask: 00000001
