Tick: 12786000, Cache Block Addr: 101312, Byte Offset: 46, FaultType: bit_flip, Mask: 01000000
Tick: 13338000, Cache Block Addr: 88256, Byte Offset: 16, FaultType: bit_flip, Mask: 01000000
Tick: 20116000, Cache Block Addr: 130752, Byte Offset: 16, FaultType: bit_flip, Mask: 01000000
Tick: 48307000, Cache Block Addr: 231104, Byte Offset: 63, FaultType: bit_flip, Mask: 10000000
Tick: 75966000, Cache Block Addr: 334272, Byte Offset: 29, FaultType: bit_flip, Mask: 00000010
Tick: 83846000, Cache Block Addr: 331968, Byte Offset: 57, FaultType: bit_flip, Mask: 01000000
Tick: 91247000, Cache Block Addr: 402816, Byte Offset: 61, FaultType: bit_flip, Mask: 00100000
Tick: 101705000, Cache Block Addr: 438720, Byte Offset: 60, FaultType: bit_flip, Mask: 00000100
Tick: 121466000, Cache Block Addr: 498944, Byte Offset: 48, FaultType: bit_flip, Mask: 00000100
Tick: 122735000, Cache Block Addr: 478976, Byte Offset: 1, FaultType: bit_flip, Mask: 00001000
Tick: 143538000, Cache Block Addr: 596928, Byte Offset: 63, FaultType: bit_flip, Mask: 00000001
Tick: 148828000, Cache Block Addr: 593280, Byte Offset: 5, FaultType: bit_flip, Mask: 00000010
Tick: 165414000, Cache Block Addr: 677696, Byte Offset: 49, FaultType: bit_flip, Mask: 01000000
Tick: 189800000, Cache Block Addr: 775680, Byte Offset: 50, FaultType: bit_flip, Mask: 00100000
Tick: 190601000, Cache Block Addr: 761408, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 203622000, Cache Block Addr: 810368, Byte Offset: 4, FaultType: bit_flip, Mask: 00001000
Tick: 204587000, Cache Block Addr: 823040, Byte Offset: 48, FaultType: bit_flip, Mask: 00100000
Tick: 215106000, Cache Block Addr: 871872, Byte Offset: 61, FaultType: bit_flip, Mask: 10000000
Tick: 222100000, Cache Block Addr: 900032, Byte Offset: 20, FaultType: bit_flip, Mask: 01000000
Tick: 224906000, Cache Block Addr: 909696, Byte Offset: 45, FaultType: bit_flip, Mask: 01000000
Tick: 225713000, Cache Block Addr: 889280, Byte Offset: 52, FaultType: bit_flip, Mask: 00000001
Tick: 227093000, Cache Block Addr: 894656, Byte Offset: 46, FaultType: bit_flip, Mask: 00000010
