
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000915                       # Number of seconds simulated (Second)
simTicks                                    914547000                       # Number of ticks simulated (Tick)
finalTick                                   914547000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     61.56                       # Real time elapsed on the host (Second)
hostTickRate                                 14855150                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529032                       # Number of bytes of host memory used (Byte)
simInsts                                      1075649                       # Number of instructions simulated (Count)
simOps                                        1075649                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    17472                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      17472                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           914548                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.850229                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.176154                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1180877                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      644                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1265389                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    332                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               105810                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             66903                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  11                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              913800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.384755                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.144353                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    560602     61.35%     61.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     61640      6.75%     68.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     62205      6.81%     74.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     60492      6.62%     81.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     69328      7.59%     89.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     32738      3.58%     92.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     29574      3.24%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     18351      2.01%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18870      2.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                913800                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7184     19.22%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     19.22% # attempts to use FU when none available (Count)
