
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000096                       # Number of seconds simulated (Second)
simTicks                                     95570000                       # Number of ticks simulated (Tick)
finalTick                                    95570000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.92                       # Real time elapsed on the host (Second)
hostTickRate                                 32721787                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530736                       # Number of bytes of host memory used (Byte)
simInsts                                       155012                       # Number of instructions simulated (Count)
simOps                                         155058                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53072                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53088                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                      7                       # Total number of faults injected (Count)
system.chaos.numBitFlips                            7                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            95571                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.616539                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.621956                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          173021                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      234                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         178350                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    745                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                18196                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             11107                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 100                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               84944                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.099619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.646343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     43556     51.28%     51.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      5596      6.59%     57.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      4669      5.50%     63.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6745      7.94%     71.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5097      6.00%     77.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4366      5.14%     82.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7225      8.51%     90.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3907      4.60%     95.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3783      4.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 84944                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5150     62.73%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     62.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     62.73% # attempts to use FU when none available (Count)
