Tick: 653000, Cache Block Addr: 46592, Byte Offset: 17, FaultType: bit_flip, Mask: 01000000
Tick: 739000, Cache Block Addr: 46528, Byte Offset: 17, FaultType: bit_flip, Mask: 10000000
Tick: 1039000, Cache Block Addr: 46784, Byte Offset: 48, FaultType: bit_flip, Mask: 10000000
Tick: 1095000, Cache Block Addr: 46912, Byte Offset: 10, FaultType: bit_flip, Mask: 00100000
Tick: 1232000, Cache Block Addr: 47168, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 1594000, Cache Block Addr: 47424, Byte Offset: 18, FaultType: bit_flip, Mask: 00000010
Tick: 1635000, Cache Block Addr: 47360, Byte Offset: 55, FaultType: bit_flip, Mask: 00000001
Tick: 1681000, Cache Block Addr: 47296, Byte Offset: 18, FaultType: bit_flip, Mask: 00000001
Tick: 1839000, Cache Block Addr: 47872, Byte Offset: 32, FaultType: bit_flip, Mask: 00000010
Tick: 2016000, Cache Block Addr: 47232, Byte Offset: 14, FaultType: bit_flip, Mask: 00010000
Tick: 2122000, Cache Block Addr: 48000, Byte Offset: 16, FaultType: bit_flip, Mask: 00010000
Tick: 2345000, Cache Block Addr: 47680, Byte Offset: 16, FaultType: bit_flip, Mask: 00010000
Tick: 2447000, Cache Block Addr: 48320, Byte Offset: 46, FaultType: bit_flip, Mask: 10000000
Tick: 2515000, Cache Block Addr: 48384, Byte Offset: 15, FaultType: bit_flip, Mask: 00000010
Tick: 2515000, Cache Block Addr: 48320, Byte Offset: 54, FaultType: bit_flip, Mask: 00000010
Tick: 2792000, Cache Block Addr: 48320, Byte Offset: 60, FaultType: bit_flip, Mask: 00001000
Tick: 2828000, Cache Block Addr: 48576, Byte Offset: 6, FaultType: bit_flip, Mask: 10000000
Tick: 2977000, Cache Block Addr: 48640, Byte Offset: 20, FaultType: bit_flip, Mask: 00100000
Tick: 3015000, Cache Block Addr: 49024, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 3079000, Cache Block Addr: 48832, Byte Offset: 25, FaultType: bit_flip, Mask: 00001000
Tick: 3247000, Cache Block Addr: 48576, Byte Offset: 0, FaultType: bit_flip, Mask: 01000000
Tick: 3384000, Cache Block Addr: 49280, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
Tick: 3413000, Cache Block Addr: 49536, Byte Offset: 52, FaultType: bit_flip, Mask: 01000000
Tick: 3419000, Cache Block Addr: 48704, Byte Offset: 45, FaultType: bit_flip, Mask: 01000000
Tick: 3637000, Cache Block Addr: 48896, Byte Offset: 41, FaultType: bit_flip, Mask: 01000000
Tick: 3640000, Cache Block Addr: 49344, Byte Offset: 14, FaultType: bit_flip, Mask: 10000000
Tick: 3667000, Cache Block Addr: 49472, Byte Offset: 9, FaultType: bit_flip, Mask: 00010000
