Tick: 2301000, Cache Block Addr: 47552, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 12232000, Cache Block Addr: 95168, Byte Offset: 7, FaultType: bit_flip, Mask: 00000001
Tick: 19385000, Cache Block Addr: 112512, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 33271000, Cache Block Addr: 155456, Byte Offset: 6, FaultType: bit_flip, Mask: 00100000
Tick: 46883000, Cache Block Addr: 233408, Byte Offset: 1, FaultType: bit_flip, Mask: 00000001
Tick: 47489000, Cache Block Addr: 193856, Byte Offset: 55, FaultType: bit_flip, Mask: 00001000
Tick: 49310000, Cache Block Addr: 231680, Byte Offset: 48, FaultType: bit_flip, Mask: 00100000
Tick: 58335000, Cache Block Addr: 243648, Byte Offset: 45, FaultType: bit_flip, Mask: 00000001
Tick: 78894000, Cache Block Addr: 318336, Byte Offset: 30, FaultType: bit_flip, Mask: 00000100
Tick: 79427000, Cache Block Addr: 316544, Byte Offset: 33, FaultType: bit_flip, Mask: 00001000
Tick: 80936000, Cache Block Addr: 349248, Byte Offset: 10, FaultType: bit_flip, Mask: 00001000
Tick: 98945000, Cache Block Addr: 43520, Byte Offset: 19, FaultType: bit_flip, Mask: 00000010
Tick: 99187000, Cache Block Addr: 411456, Byte Offset: 39, FaultType: bit_flip, Mask: 00000001
Tick: 120297000, Cache Block Addr: 60928, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 134018000, Cache Block Addr: 541056, Byte Offset: 48, FaultType: bit_flip, Mask: 00000010
Tick: 147527000, Cache Block Addr: 583872, Byte Offset: 57, FaultType: bit_flip, Mask: 01000000
Tick: 148117000, Cache Block Addr: 609792, Byte Offset: 39, FaultType: bit_flip, Mask: 01000000
Tick: 155896000, Cache Block Addr: 627392, Byte Offset: 63, FaultType: bit_flip, Mask: 00100000
Tick: 159397000, Cache Block Addr: 636480, Byte Offset: 25, FaultType: bit_flip, Mask: 00001000
Tick: 185227000, Cache Block Addr: 750656, Byte Offset: 0, FaultType: bit_flip, Mask: 00000010
Tick: 193657000, Cache Block Addr: 778496, Byte Offset: 8, FaultType: bit_flip, Mask: 00100000
Tick: 207273000, Cache Block Addr: 60992, Byte Offset: 45, FaultType: bit_flip, Mask: 00010000
Tick: 229202000, Cache Block Addr: 910848, Byte Offset: 58, FaultType: bit_flip, Mask: 00001000
Tick: 231673000, Cache Block Addr: 908672, Byte Offset: 28, FaultType: bit_flip, Mask: 00000001
Tick: 233928000, Cache Block Addr: 926400, Byte Offset: 16, FaultType: bit_flip, Mask: 00100000
Tick: 241716000, Cache Block Addr: 961536, Byte Offset: 10, FaultType: bit_flip, Mask: 00010000
Tick: 254018000, Cache Block Addr: 1025024, Byte Offset: 58, FaultType: bit_flip, Mask: 00001000
Tick: 257785000, Cache Block Addr: 1003968, Byte Offset: 7, FaultType: bit_flip, Mask: 01000000
Tick: 308274000, Cache Block Addr: 1223936, Byte Offset: 30, FaultType: bit_flip, Mask: 00001000
Tick: 311082000, Cache Block Addr: 1226240, Byte Offset: 44, FaultType: bit_flip, Mask: 00100000
Tick: 341735000, Cache Block Addr: 1337792, Byte Offset: 45, FaultType: bit_flip, Mask: 00010000
Tick: 360416000, Cache Block Addr: 1434432, Byte Offset: 49, FaultType: bit_flip, Mask: 00000100
Tick: 373189000, Cache Block Addr: 1473408, Byte Offset: 33, FaultType: bit_flip, Mask: 00001000
Tick: 374076000, Cache Block Addr: 1478016, Byte Offset: 39, FaultType: bit_flip, Mask: 00100000
Tick: 379639000, Cache Block Addr: 1527936, Byte Offset: 21, FaultType: bit_flip, Mask: 00001000
Tick: 385937000, Cache Block Addr: 1544192, Byte Offset: 18, FaultType: bit_flip, Mask: 10000000
Tick: 407788000, Cache Block Addr: 1588992, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 413787000, Cache Block Addr: 1636800, Byte Offset: 28, FaultType: bit_flip, Mask: 00000010
Tick: 431085000, Cache Block Addr: 1712000, Byte Offset: 34, FaultType: bit_flip, Mask: 00001000
Tick: 435752000, Cache Block Addr: 1719872, Byte Offset: 21, FaultType: bit_flip, Mask: 00100000
Tick: 436207000, Cache Block Addr: 1725440, Byte Offset: 39, FaultType: bit_flip, Mask: 00000001
Tick: 439210000, Cache Block Addr: 1714304, Byte Offset: 19, FaultType: bit_flip, Mask: 00010000
Tick: 454262000, Cache Block Addr: 1807680, Byte Offset: 60, FaultType: bit_flip, Mask: 00100000
Tick: 467978000, Cache Block Addr: 1828544, Byte Offset: 61, FaultType: bit_flip, Mask: 00010000
