Tick: 15685000, Cache Block Addr: 81600, Byte Offset: 33, FaultType: bit_flip, Mask: 00000001
Tick: 17507000, Cache Block Addr: 117312, Byte Offset: 27, FaultType: bit_flip, Mask: 10000000
Tick: 28296000, Cache Block Addr: 138240, Byte Offset: 41, FaultType: bit_flip, Mask: 00100000
Tick: 29410000, Cache Block Addr: 159296, Byte Offset: 40, FaultType: bit_flip, Mask: 10000000
Tick: 34122000, Cache Block Addr: 142592, Byte Offset: 53, FaultType: bit_flip, Mask: 10000000
Tick: 53421000, Cache Block Addr: 239360, Byte Offset: 53, FaultType: bit_flip, Mask: 01000000
Tick: 61727000, Cache Block Addr: 285696, Byte Offset: 61, FaultType: bit_flip, Mask: 10000000
Tick: 78569000, Cache Block Addr: 319424, Byte Offset: 36, FaultType: bit_flip, Mask: 01000000
Tick: 97441000, Cache Block Addr: 419904, Byte Offset: 48, FaultType: bit_flip, Mask: 00000001
Tick: 109650000, Cache Block Addr: 474176, Byte Offset: 59, FaultType: bit_flip, Mask: 00001000
Tick: 111025000, Cache Block Addr: 476352, Byte Offset: 12, FaultType: bit_flip, Mask: 00010000
Tick: 121412000, Cache Block Addr: 519104, Byte Offset: 11, FaultType: bit_flip, Mask: 00000100
Tick: 127760000, Cache Block Addr: 540288, Byte Offset: 56, FaultType: bit_flip, Mask: 00010000
Tick: 129387000, Cache Block Addr: 511296, Byte Offset: 42, FaultType: bit_flip, Mask: 00000001
Tick: 135226000, Cache Block Addr: 550976, Byte Offset: 24, FaultType: bit_flip, Mask: 00010000
Tick: 142542000, Cache Block Addr: 600896, Byte Offset: 4, FaultType: bit_flip, Mask: 00001000
Tick: 150417000, Cache Block Addr: 584384, Byte Offset: 15, FaultType: bit_flip, Mask: 00000100
Tick: 176657000, Cache Block Addr: 696128, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 178232000, Cache Block Addr: 709248, Byte Offset: 20, FaultType: bit_flip, Mask: 00010000
Tick: 192801000, Cache Block Addr: 789696, Byte Offset: 13, FaultType: bit_flip, Mask: 00000001
Tick: 193972000, Cache Block Addr: 752768, Byte Offset: 43, FaultType: bit_flip, Mask: 00100000
Tick: 247265000, Cache Block Addr: 982208, Byte Offset: 28, FaultType: bit_flip, Mask: 00100000
Tick: 251915000, Cache Block Addr: 1005248, Byte Offset: 26, FaultType: bit_flip, Mask: 00100000
Tick: 263372000, Cache Block Addr: 1068096, Byte Offset: 42, FaultType: bit_flip, Mask: 10000000
Tick: 267219000, Cache Block Addr: 1057088, Byte Offset: 9, FaultType: bit_flip, Mask: 10000000
Tick: 279519000, Cache Block Addr: 1102208, Byte Offset: 1, FaultType: bit_flip, Mask: 00100000
Tick: 292027000, Cache Block Addr: 1160832, Byte Offset: 43, FaultType: bit_flip, Mask: 00010000
Tick: 307593000, Cache Block Addr: 1197056, Byte Offset: 26, FaultType: bit_flip, Mask: 00010000
Tick: 307971000, Cache Block Addr: 1226624, Byte Offset: 57, FaultType: bit_flip, Mask: 00001000
Tick: 312767000, Cache Block Addr: 1236480, Byte Offset: 54, FaultType: bit_flip, Mask: 00000100
Tick: 322900000, Cache Block Addr: 1276736, Byte Offset: 51, FaultType: bit_flip, Mask: 00010000
Tick: 325014000, Cache Block Addr: 1300928, Byte Offset: 27, FaultType: bit_flip, Mask: 00010000
Tick: 325449000, Cache Block Addr: 1278720, Byte Offset: 20, FaultType: bit_flip, Mask: 00000100
Tick: 329157000, Cache Block Addr: 1303488, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 338747000, Cache Block Addr: 1365632, Byte Offset: 29, FaultType: bit_flip, Mask: 00100000
Tick: 352058000, Cache Block Addr: 1399616, Byte Offset: 0, FaultType: bit_flip, Mask: 00000010
Tick: 352856000, Cache Block Addr: 1403840, Byte Offset: 18, FaultType: bit_flip, Mask: 00000010
Tick: 362203000, Cache Block Addr: 1445888, Byte Offset: 3, FaultType: bit_flip, Mask: 00001000
Tick: 389440000, Cache Block Addr: 1554432, Byte Offset: 28, FaultType: bit_flip, Mask: 00000010
Tick: 408425000, Cache Block Addr: 1610112, Byte Offset: 35, FaultType: bit_flip, Mask: 00010000
Tick: 410084000, Cache Block Addr: 1609280, Byte Offset: 25, FaultType: bit_flip, Mask: 00000010
Tick: 420297000, Cache Block Addr: 1650944, Byte Offset: 7, FaultType: bit_flip, Mask: 01000000
Tick: 421446000, Cache Block Addr: 1679936, Byte Offset: 5, FaultType: bit_flip, Mask: 00000100
Tick: 443480000, Cache Block Addr: 1776768, Byte Offset: 14, FaultType: bit_flip, Mask: 00010000
Tick: 444432000, Cache Block Addr: 1765440, Byte Offset: 9, FaultType: bit_flip, Mask: 00000010
Tick: 468968000, Cache Block Addr: 1863744, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 471499000, Cache Block Addr: 1886528, Byte Offset: 14, FaultType: bit_flip, Mask: 00000001
Tick: 493132000, Cache Block Addr: 1950720, Byte Offset: 61, FaultType: bit_flip, Mask: 10000000
Tick: 495456000, Cache Block Addr: 1971776, Byte Offset: 29, FaultType: bit_flip, Mask: 00000100
Tick: 548686000, Cache Block Addr: 2162304, Byte Offset: 24, FaultType: bit_flip, Mask: 01000000
Tick: 557198000, Cache Block Addr: 2188416, Byte Offset: 3, FaultType: bit_flip, Mask: 01000000
Tick: 570668000, Cache Block Addr: 2232512, Byte Offset: 45, FaultType: bit_flip, Mask: 00000010
Tick: 596885000, Cache Block Addr: 2327552, Byte Offset: 54, FaultType: bit_flip, Mask: 00000100
Tick: 600156000, Cache Block Addr: 2351232, Byte Offset: 28, FaultType: bit_flip, Mask: 00010000
Tick: 600831000, Cache Block Addr: 2361216, Byte Offset: 50, FaultType: bit_flip, Mask: 00000100
Tick: 606453000, Cache Block Addr: 2379264, Byte Offset: 25, FaultType: bit_flip, Mask: 00100000
